,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
93,0xfe6ab4a844d1a59b30e60fccfcd5249f265ffaf0c957d48d2ca0e4293ad766c2,17116382,1682342147,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xf4c63d149d9f9b9de8ca77e93d461047c2b6109b,4.60106,,0x,0
94,0x42c8e7534e5a631e701d1513ea04df84dd35fb66f74393f51b43397f2a99ebcc,17171364,1683009503,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,8.0,,0x,0
97,0x2cc25927434366ad46ace51f44b06cd8154552c4241021daf9e8eaaa3d52de73,17390857,1685682083,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,8.0,,0x,0
99,0xd6f4e0b847884a75559aa384bf17b864554662010a7ba416d0e4b9546ed8d0ab,17601325,1688240267,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,6.5,,0x,0
101,0x8852b3464eb31cdddeab557e36b46a8c02041f1edc4f0119135324a2e86f9b69,17696618,1689397559,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,100.0,,0xa1903eab0000000000000000000000006dc9657c2d90d57cadffb64239242d06e6103e43,0
102,0x40bf539cc0fe4f12f29193c51600c26c0664b4f6bf6a34cfaf3fbb4ea3ce3690,17696630,1689397703,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x1e68238ce926dec62b3fbc99ab06eb1d85ce0270,64.0,,0xd0e30db0,0
106,0xb5addc6581717261ef8220331b9de76273640929a66a691e91146f7d9ebd7077,18554316,1699773755,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,1.9,,0x,0
108,0xc2dbbc6d7ac498b4a41b910a983ae78b8b10c7120bff81f51f8f1dace7e7d273,18554366,1699774367,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,9.93,,0xa1903eab0000000000000000000000006dc9657c2d90d57cadffb64239242d06e6103e43,0
109,0x736efac82669d61b0f395044d2297db39a5a209dd3c9ed49cf710815cd7d6fbb,18761312,1702277747,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,2.0,,0x,0
110,0x6812cd8f36bf8e17b041098220cca879ecfc9edd3c9181192a438572accd8243,18938987,1704432359,0xc16a9c23ec7de58a8e7adb29e2620860b6d742fe,0x85975824ad7ae8147be35b87564c1a791e6ef1dc,1.9,,0x,0
